index,release_date,Runtime,Movie,Rating,Year,description
1,2010,148,Inception,8.8,2010,   A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
2,1999,136,Matrix,8.7,1999,"   When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
3,1980,124,Das Imperium schlägt zurück,8.7,1980,"   After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
4,2014,169,Interstellar,8.6,2014,   A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
5,1977,121,Krieg der Sterne,8.6,1977,"   Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
6,2006,130,Prestige: Die Meister der Magie,8.5,2006,"   After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
7,1991,137,Terminator 2: Tag der Abrechnung,8.5,1991,"   A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg."
8,1985,116,Zurück in die Zukunft,8.5,1985,"   Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
9,2018,117,Spider-Man: A New Universe,8.4,2018,"   Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
10,2019,181,Avengers: Endgame,8.4,2019,"   After the devastating events of Qasoskorlar: Abadiyat jangi (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
11,2018,149,Avengers: Infinity War,8.4,2018,   The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
12,2008,98,WALL·E: Der Letzte räumt die Erde auf,8.4,2008,"   In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
13,1979,117,Alien - Das unheimliche Wesen aus einer fremden Welt,8.4,1979,"   After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun."
14,2021,242,Zack Snyder: Justice League,8.3,2021,"   Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
15,2004,108,Vergiss mein nicht,8.3,2004,"   When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
16,1986,137,Aliens - Die Rückkehr,8.3,1986,"   Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
17,1983,131,Die Rückkehr der Jedi-Ritter,8.3,1983,"   After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
18,1971,136,Uhrwerk Orange,8.3,1971,"   In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
19,1968,149,2001: Odyssee im Weltraum,8.3,1968,"   After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000."
20,1927,153,Metropolis,8.3,1927,"   In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
21,2005,132,V wie Vendetta,8.2,2005,"   In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
22,1979,162,Stalker,8.2,1979,   A guide leads two men through an area known as the Zone to find a room that grants wishes.
23,2017,137,Logan: The Wolverine,8.1,2017,"   In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
24,2014,153,"PK - Andere Sterne, Andere Sitten",8.1,2014,   An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
25,2015,120,Mad Max: Fury Road,8.1,2015,"   In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
26,1997,87,Neon Genesis Evangelion - The End of Evangelion,8.1,1997,   Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
